ETF,R²_Absolute,R²_Excess,R²_Combined,F_Abs,F_Exc,F_Comb,N
AIQ,0.14572959401039143,0.285733280472815,0.47145824068455544,0.6681423577422972,1.5668124869740598,1.300830550372155,60
ARKB,0.47566490335027034,0.4571045614020557,0.5380909902009249,2.7215319347659137,2.5259259642108174,1.1649285439030255,21
ARKF,0.14703981113225784,0.13781341815260828,0.3202887522405986,0.5458942570386273,0.50616556401072,0.5104807118283892,51
ARKG,0.22242553379014907,0.24659785564883363,0.37574468299290675,2.1453784504491535,2.4548429165396617,1.9562031535136624,103
ARKK,0.20801902773464953,0.20484979741624498,0.2905555523121206,1.9699244838513,1.9321802039785154,1.331049313433826,103
ARKQ,0.3393315390784284,0.44894999374536615,0.4661712074465981,1.6264585602428465,2.5799382343836146,0.9460314151500703,26
ARKW,0.416440804924489,0.45830963055777685,0.5682833414050199,2.259803678397313,2.679231369008905,1.426028563562276,26
ARKX,0.3934099740363247,0.5388042337010317,0.5619910040961478,2.1078197149496503,3.796899033962946,1.443440398532248,35
ARTY,0.2759804394626654,0.36425373631046964,0.5146746490406786,1.4611829232280316,2.1963259069533847,1.5023373867305103,59
BKGI,0.060278155595752336,0.14494015906564417,0.18541278332042488,0.20312481527363851,0.5367778351898723,0.24658360023852233,26
BLOK,0.22851262459021326,0.28917679809816654,0.4721330323073182,1.2588393348530824,1.7289832248426467,1.4534271406542278,64
BOTZ,0.19654827512603823,0.3377453583878458,0.4270811769753523,1.3658499971389442,2.847461986940438,1.7083182780906399,80
BUG,0.47035686260349807,0.5830087928757546,0.6806531837504897,2.5834581370286163,4.067293387243008,2.034510349285244,44
CGW,0.1271120329139409,0.21830831833637065,0.2802125047709798,1.177114327914341,2.25748712433105,1.3787670587619585,110
DSI,0.07194196779539186,0.2326777034921439,0.29012950984724395,0.6266104986610086,2.451136172011705,1.4475063103710748,110
DTCR,0.3428370180582906,0.5449691689774336,0.6184365301269781,1.6810092603265534,3.859105025386682,1.8008843990483665,39
EUAD,0.1437820125318251,0.225690002995229,0.25664757765234525,0.6157318817555067,1.0687321798551022,0.46034257764628195,15
FPX,0.15365520490762918,0.25582179081614465,0.3287105264851673,1.4675416530853065,2.7787602264853195,1.7342490245517668,110
GII,0.19165338011031008,0.1135082253737002,0.2716014650568753,1.9165022995990049,1.0350065821620567,1.3205982841314694,110
GNR,0.1730212276706412,0.22464984432762547,0.30478051469719514,1.6912021248924358,2.3420638555323374,1.5526477786830397,110
GRID,0.14037225866506997,0.13243180145063083,0.19128549858883426,1.3199617729653446,1.2338976887917237,0.8377115446633369,110
GRNY,0.697589062797308,0.7075497332669788,0.8146119340433823,7.689195693449701,8.06461603621313,5.126438882747048,14
GUNR,0.2520293856372726,0.20757650444382547,0.3596382817117415,2.72368659246997,2.1174410993580177,1.9890616163010346,110
IFRA,0.18134288494761874,0.31940594040362413,0.4227246505012425,0.8860504922675259,1.8772185028652582,1.0984133937165952,61
IGE,0.1552558518133339,0.10948769249135326,0.2622865698003398,1.4856389415087894,0.9938386104748052,1.2592038633820055,110
IGF,0.24069043153827563,0.35118379930821664,0.5223767584301957,2.562302740645368,4.375254051991956,3.8735224581888814,110
IZRL,0.19198680006008295,0.26552616843884236,0.43187199516375374,1.0296153581676906,1.5665818809672707,1.2669445133473456,65
JUST,0.28533292631816687,0.2317588847147063,0.47019323741070196,1.530469582036345,1.1564195672384987,1.2572642204044278,59
KOMP,0.2305030783458668,0.22580321127371228,0.441750109547529,1.0484262529293775,1.0208144117443538,0.989140609569764,55
LIT,0.4448257968080408,0.46550214884493746,0.5258635486018095,6.476661145621964,7.039895536277756,3.928053613692658,110
MOO,0.3056413624527262,0.2460902398842829,0.47935770857152693,3.5581051052905375,2.6385511161963136,3.2608284916684083,110
MSOS,0.06578936817896341,0.07265859641183692,0.2481359458895016,0.23474138107634845,0.2611716897742979,0.38503228780310816,40
NFRA,0.17755127495068368,0.17552868062493998,0.30612895000246754,1.745040262660306,1.7209292812357322,1.562547822004192,110
PAVE,0.34372787496456036,0.40311668945486023,0.5342496732950859,2.6624372691569462,3.433127494982794,2.3419409222126157,74
PBW,0.33605227010830585,0.3721135381665316,0.4126064454093217,4.091319834999539,4.790544070758936,2.48779456760693,110
PHO,0.2575244210127168,0.31897128144781806,0.4133160184536263,2.8036689629021643,3.7859654394378333,2.495086982770957,110
PRNT,0.1537149931051056,0.14338822474812174,0.23582835901947263,0.5751775594120727,0.5300682582478778,0.33432374164432727,26
PWRD,0.11582934241679999,0.1061348162438166,0.2194618657276488,0.4148440287034577,0.376000308413132,0.30459799989135256,26
ROBO,0.23114480901612322,0.33120527928780386,0.36457041986476624,2.4301332181370126,4.0030858368500555,2.031990552616263,110
ROBT,0.20792160797391346,0.1610724903878752,0.3685417932767091,1.0937554185875418,0.7999920957729039,0.9240904620583392,63
SAMT,0.3718025104430296,0.2607338963765754,0.4611329611882099,1.9728536361245221,1.17564295679467,0.9983695716588101,27
SIXG,0.15162129809687452,0.13028396689532784,0.418341441714726,0.5510499042663921,0.46188512415168326,0.7491892432635402,50
SUSA,0.16742739598786716,0.09011149818535324,0.1990915445987047,1.6255296467600362,0.8005390501644721,0.8803951092851356,110
XT,0.13246272977466633,0.2528449503788893,0.29362661214739094,1.0815416252877668,2.3970728245656967,1.264365693801218,98
