SE_Method,Variable,Coefficient,Std_Error,t_stat,p_value
Entity Cluster,CumRet_1_5,8.23175601569572,41.27220599681813,0.19945035204394804,0.8419136732224046
Entity Cluster,CumRet_6_20,26.770701522223867,8.088245121495994,3.309828166690426,0.0009361355748020994
Entity Cluster,CumRet_21_60,23.262094173653242,6.561804308558093,3.545075878491858,0.00039391329379756534
Two-way Cluster,CumRet_1_5,8.23175601569572,41.781243026488994,0.19702037132971004,0.8438147527088777
Two-way Cluster,CumRet_6_20,26.770701522223867,8.69990986231566,3.0771240100065005,0.0020945376074206212
Two-way Cluster,CumRet_21_60,23.262094173653242,7.494556843919066,3.103865199518453,0.001914305426204077
Driscoll-Kraay,CumRet_1_5,8.23175601569572,20.58284305774846,0.39993289520792685,0.6892126768982973
Driscoll-Kraay,CumRet_6_20,26.770701522223867,12.24313382053554,2.1865889824156852,0.02879074730595943
Driscoll-Kraay,CumRet_21_60,23.262094173653242,9.357499318350762,2.485930629782096,0.012934089341077426
