ETF,Direction,Best_Lag,F_stat,p_value
ARKK,Returns → Flows,3,6.912180291505079,0.00012359033706905404
ARKK,Flows → Returns,2,0.9475852151855779,0.3877990603176358
ARKF,Returns → Flows,3,10.566684713546348,6.90699363331536e-07
ARKF,Flows → Returns,1,0.09716872195082293,0.755290732324557
ARKG,Returns → Flows,3,14.03719728123207,4.4049471394941065e-09
ARKG,Flows → Returns,2,0.7526123675201878,0.47122830875186084
ARKX,Returns → Flows,4,1.0971689886559788,0.3564755400563734
ARKX,Flows → Returns,5,2.6957300779629048,0.01973573127837985
ARKQ,Returns → Flows,3,6.475517918975338,0.0002466471001023233
ARKQ,Flows → Returns,2,0.25602522510602665,0.7741827554646701
ARKW,Returns → Flows,3,0.3127871956051622,0.8161534952131099
ARKW,Flows → Returns,1,0.1974238905808654,0.6569221961126852
