ETF,Variable,Coefficient,Std_Error,t_stat,p_value
ARKK,CumRet_1_5,-126.68537630725217,46.611153311962134,-2.717919796134717,0.006569376030650106
ARKK,CumRet_6_20,44.43661616006671,20.317114214712305,2.187151959203373,0.028731432595678043
ARKK,CumRet_21_60,42.31273660579665,24.030532502510518,1.760790635886914,0.07827384534812556
ARKK,R²,0.005626750787132373,,,
ARKK,N,2776.0,,,
ARKF,CumRet_1_5,66.25924124664861,10.720296534024381,6.180728400222247,6.380650878012402e-10
ARKF,CumRet_6_20,17.835915789764062,4.6242748895084596,3.8570189307366074,0.00011477827624752459
ARKF,CumRet_21_60,10.589909643496844,3.7834891436921905,2.7989797885775025,0.005126434616488057
ARKF,R²,0.03006712567562353,,,
ARKF,N,1718.0,,,
ARKG,CumRet_1_5,97.8226997905388,13.109746332242612,7.461830100400182,8.532887106900773e-14
ARKG,CumRet_6_20,51.87007398716554,9.14298328266577,5.673211071653853,1.4014537725020149e-08
ARKG,CumRet_21_60,37.0001815001988,6.3068750929530415,5.866642505975865,4.447080671879714e-09
ARKG,R²,0.08634999581201863,,,
ARKG,N,2781.0,,,
ARKX,CumRet_1_5,13.634813967117335,3.7889886018608574,3.598536548888263,0.0003200128829025417
ARKX,CumRet_6_20,9.138402286211484,11.142187444512874,0.8201623183706013,0.41212358005535377
ARKX,CumRet_21_60,0.2910687007970221,1.9183073216743518,0.15173204913953475,0.879398278271296
ARKX,R²,0.00408098373306498,,,
ARKX,N,1176.0,,,
ARKQ,CumRet_1_5,21.651988603782346,3.689986908229692,5.867768407387143,4.416996166025127e-09
ARKQ,CumRet_6_20,10.688749747482106,1.7438169179293523,6.129513733686085,8.814806627008818e-10
ARKQ,CumRet_21_60,2.291883850780018,1.034739824106415,2.2149373179477774,0.026764367213161177
ARKQ,R²,0.08113795171184912,,,
ARKQ,N,788.0,,,
ARKW,CumRet_1_5,8.680091728474284,19.473652282946745,0.4457351709045108,0.6557885557807146
ARKW,CumRet_6_20,6.23934104886854,7.609994709021572,0.8198876986697329,0.41228013004375197
ARKW,CumRet_21_60,7.138998810543358,10.06870449883204,0.709028536031768,0.4783067686803959
ARKW,R²,0.00094598331229101,,,
ARKW,N,788.0,,,
